hedId	rdfs:label	omn:SubClassOf	Attributes	dc:description
HED_0011400	deca	StandardUnitModifier	SIUnitModifier, conversionFactor=10.0	SI unit multiple representing 10e1.
HED_0011401	da	StandardUnitModifier	SIUnitSymbolModifier, conversionFactor=10.0	SI unit multiple representing 10e1.
HED_0011402	hecto	StandardUnitModifier	SIUnitModifier, conversionFactor=100.0	SI unit multiple representing 10e2.
HED_0011403	h	StandardUnitModifier	SIUnitSymbolModifier, conversionFactor=100.0	SI unit multiple representing 10e2.
HED_0011404	kilo	StandardUnitModifier	SIUnitModifier, conversionFactor=1000.0	SI unit multiple representing 10e3.
HED_0011405	k	StandardUnitModifier	SIUnitSymbolModifier, conversionFactor=1000.0	SI unit multiple representing 10e3.
HED_0011406	mega	StandardUnitModifier	SIUnitModifier, conversionFactor=10e6	SI unit multiple representing 10e6.
HED_0011407	M	StandardUnitModifier	SIUnitSymbolModifier, conversionFactor=10e6	SI unit multiple representing 10e6.
HED_0011408	giga	StandardUnitModifier	SIUnitModifier, conversionFactor=10e9	SI unit multiple representing 10e9.
HED_0011409	G	StandardUnitModifier	SIUnitSymbolModifier, conversionFactor=10e9	SI unit multiple representing 10e9.
HED_0011410	tera	StandardUnitModifier	SIUnitModifier, conversionFactor=10e12	SI unit multiple representing 10e12.
HED_0011411	T	StandardUnitModifier	SIUnitSymbolModifier, conversionFactor=10e12	SI unit multiple representing 10e12.
HED_0011412	peta	StandardUnitModifier	SIUnitModifier, conversionFactor=10e15	SI unit multiple representing 10e15.
HED_0011413	P	StandardUnitModifier	SIUnitSymbolModifier, conversionFactor=10e15	SI unit multiple representing 10e15.
HED_0011414	exa	StandardUnitModifier	SIUnitModifier, conversionFactor=10e18	SI unit multiple representing 10e18.
HED_0011415	E	StandardUnitModifier	SIUnitSymbolModifier, conversionFactor=10e18	SI unit multiple representing 10e18.
HED_0011416	zetta	StandardUnitModifier	SIUnitModifier, conversionFactor=10e21	SI unit multiple representing 10e21.
HED_0011417	Z	StandardUnitModifier	SIUnitSymbolModifier, conversionFactor=10e21	SI unit multiple representing 10e21.
HED_0011418	yotta	StandardUnitModifier	SIUnitModifier, conversionFactor=10e24	SI unit multiple representing 10e24.
HED_0011419	Y	StandardUnitModifier	SIUnitSymbolModifier, conversionFactor=10e24	SI unit multiple representing 10e24.
HED_0011420	deci	StandardUnitModifier	SIUnitModifier, conversionFactor=0.1	SI unit submultiple representing 10e-1.
HED_0011421	d	StandardUnitModifier	SIUnitSymbolModifier, conversionFactor=0.1	SI unit submultiple representing 10e-1.
HED_0011422	centi	StandardUnitModifier	SIUnitModifier, conversionFactor=0.01	SI unit submultiple representing 10e-2.
HED_0011423	c	StandardUnitModifier	SIUnitSymbolModifier, conversionFactor=0.01	SI unit submultiple representing 10e-2.
HED_0011424	milli	StandardUnitModifier	SIUnitModifier, conversionFactor=0.001	SI unit submultiple representing 10e-3.
HED_0011425	m	StandardUnitModifier	SIUnitSymbolModifier, conversionFactor=0.001	SI unit submultiple representing 10e-3.
HED_0011426	micro	StandardUnitModifier	SIUnitModifier, conversionFactor=10e-6	SI unit submultiple representing 10e-6.
HED_0011427	u	StandardUnitModifier	SIUnitSymbolModifier, conversionFactor=10e-6	SI unit submultiple representing 10e-6.
HED_0011428	nano	StandardUnitModifier	SIUnitModifier, conversionFactor=10e-9	SI unit submultiple representing 10e-9.
HED_0011429	n	StandardUnitModifier	SIUnitSymbolModifier, conversionFactor=10e-9	SI unit submultiple representing 10e-9.
HED_0011430	pico	StandardUnitModifier	SIUnitModifier, conversionFactor=10e-12	SI unit submultiple representing 10e-12.
HED_0011431	p	StandardUnitModifier	SIUnitSymbolModifier, conversionFactor=10e-12	SI unit submultiple representing 10e-12.
HED_0011432	femto	StandardUnitModifier	SIUnitModifier, conversionFactor=10e-15	SI unit submultiple representing 10e-15.
HED_0011433	f	StandardUnitModifier	SIUnitSymbolModifier, conversionFactor=10e-15	SI unit submultiple representing 10e-15.
HED_0011434	atto	StandardUnitModifier	SIUnitModifier, conversionFactor=10e-18	SI unit submultiple representing 10e-18.
HED_0011435	a	StandardUnitModifier	SIUnitSymbolModifier, conversionFactor=10e-18	SI unit submultiple representing 10e-18.
HED_0011436	zepto	StandardUnitModifier	SIUnitModifier, conversionFactor=10e-21	SI unit submultiple representing 10e-21.
HED_0011437	z	StandardUnitModifier	SIUnitSymbolModifier, conversionFactor=10e-21	SI unit submultiple representing 10e-21.
HED_0011438	yocto	StandardUnitModifier	SIUnitModifier, conversionFactor=10e-24	SI unit submultiple representing 10e-24.
HED_0011439	y	StandardUnitModifier	SIUnitSymbolModifier, conversionFactor=10e-24	SI unit submultiple representing 10e-24.
